target,oversampled,clf,reg1,reg2,reg0_is_post,reg1_is_post,reg2_is_post,mae,amae
1,False,XGB,HistGradientBoosting,HistGradientBoosting,False,False,False,0.6392180575946591,4644.480727651648
1,False,XGB,HistGradientBoosting,HistGradientBoosting,False,False,True,0.6030171756358865,4963.719636680054
1,False,XGB,HistGradientBoosting,HistGradientBoosting,False,True,False,0.6949952082951447,4505.061900672082
1,False,XGB,HistGradientBoosting,HistGradientBoosting,False,True,True,0.658794326336372,4824.300809700488
1,False,XGB,HistGradientBoosting,HistGradientBoosting,True,False,False,0.6396470418800803,4644.479128121389
1,False,XGB,HistGradientBoosting,HistGradientBoosting,True,False,True,0.6034461599213076,4963.718037149794
1,False,XGB,HistGradientBoosting,HistGradientBoosting,True,True,False,0.6954241925805656,4505.060301141823
1,False,XGB,HistGradientBoosting,HistGradientBoosting,True,True,True,0.6592233106217931,4824.29921017023
1,True,HistGradientBoosting,RandomForest,RandomForest,False,False,False,1.1178323180000511,3583.5323895454935
1,True,HistGradientBoosting,RandomForest,RandomForest,False,False,True,0.9212203321204802,3863.3652372457013
1,True,HistGradientBoosting,RandomForest,RandomForest,False,True,False,1.7180262242931035,3382.453864956745
1,True,HistGradientBoosting,RandomForest,RandomForest,False,True,True,1.5214142384135323,3662.286712656952
1,True,HistGradientBoosting,RandomForest,RandomForest,True,False,False,1.118802710803909,3583.5324264307787
1,True,HistGradientBoosting,RandomForest,RandomForest,True,False,True,0.922190724924338,3863.3652741309857
1,True,HistGradientBoosting,RandomForest,RandomForest,True,True,False,1.718996617096961,3382.4539018420296
1,True,HistGradientBoosting,RandomForest,RandomForest,True,True,True,1.52238463121739,3662.2867495422374
2,False,RandomForest,RandomForest,HistGradientBoosting,False,False,False,1.0728465659835527,2641.8660177607962
2,False,RandomForest,RandomForest,HistGradientBoosting,False,False,True,1.0060124737241245,2676.0058666978616
2,False,RandomForest,RandomForest,HistGradientBoosting,False,True,False,1.184617167236178,2641.8145397183407
2,False,RandomForest,RandomForest,HistGradientBoosting,False,True,True,1.1177830749767494,2675.9543886554056
2,False,RandomForest,RandomForest,HistGradientBoosting,True,False,False,1.0728465659835527,2641.8660177607962
2,False,RandomForest,RandomForest,HistGradientBoosting,True,False,True,1.0060124737241245,2676.0058666978616
2,False,RandomForest,RandomForest,HistGradientBoosting,True,True,False,1.184617167236178,2641.8145397183407
2,False,RandomForest,RandomForest,HistGradientBoosting,True,True,True,1.1177830749767494,2675.9543886554056
2,True,HistGradientBoosting,HistGradientBoosting,RandomForest,False,False,False,1.503053332752639,2389.5454456780512
2,True,HistGradientBoosting,HistGradientBoosting,RandomForest,False,False,True,1.3502806719153495,2404.103398061612
2,True,HistGradientBoosting,HistGradientBoosting,RandomForest,False,True,False,1.9460999735311213,2370.9823063342164
2,True,HistGradientBoosting,HistGradientBoosting,RandomForest,False,True,True,1.7933273126938318,2385.5402587177778
2,True,HistGradientBoosting,HistGradientBoosting,RandomForest,True,False,False,1.5037858449828823,2389.545518563571
2,True,HistGradientBoosting,HistGradientBoosting,RandomForest,True,False,True,1.3510131841455926,2404.1034709471323
2,True,HistGradientBoosting,HistGradientBoosting,RandomForest,True,True,False,1.9468324857613644,2370.9823792197362
2,True,HistGradientBoosting,HistGradientBoosting,RandomForest,True,True,True,1.794059824924075,2385.5403316032975
3,False,RandomForest,RandomForest,HistGradientBoosting,False,False,False,0.5343563903800499,5734.152655899285
3,False,RandomForest,RandomForest,HistGradientBoosting,False,False,True,0.47622690235273435,6104.071377873474
3,False,RandomForest,RandomForest,HistGradientBoosting,False,True,False,0.8775712844505045,5680.914376705236
3,False,RandomForest,RandomForest,HistGradientBoosting,False,True,True,0.819441796423189,6050.833098679426
3,False,RandomForest,RandomForest,HistGradientBoosting,True,False,False,0.5585369475443857,5734.119814280364
3,False,RandomForest,RandomForest,HistGradientBoosting,True,False,True,0.5004074595170702,6104.038536254553
3,False,RandomForest,RandomForest,HistGradientBoosting,True,True,False,0.9017518416148402,5680.881535086314
3,False,RandomForest,RandomForest,HistGradientBoosting,True,True,True,0.8436223535875248,6050.800257060506
3,True,HistGradientBoosting,RandomForest,RandomForest,False,False,False,1.32762954020527,4408.231180034615
3,True,HistGradientBoosting,RandomForest,RandomForest,False,False,True,1.0495966229257152,4723.270022218177
3,True,HistGradientBoosting,RandomForest,RandomForest,False,True,False,2.6145311467565624,4091.855050285879
3,True,HistGradientBoosting,RandomForest,RandomForest,False,True,True,2.3364982294770074,4406.89389246944
3,True,HistGradientBoosting,RandomForest,RandomForest,True,False,False,1.3406611716388215,4408.175769633303
3,True,HistGradientBoosting,RandomForest,RandomForest,True,False,True,1.0626282543592664,4723.214611816865
3,True,HistGradientBoosting,RandomForest,RandomForest,True,True,False,2.6275627781901134,4091.799639884567
3,True,HistGradientBoosting,RandomForest,RandomForest,True,True,True,2.349529860910559,4406.83848206813
4,False,XGB,HistGradientBoosting,RandomForest,False,False,False,0.7303683293066658,3490.369785250381
4,False,XGB,HistGradientBoosting,RandomForest,False,False,True,0.7006503997004112,3657.8553457055696
4,False,XGB,HistGradientBoosting,RandomForest,False,True,False,0.7498821960102594,3452.307322413972
4,False,XGB,HistGradientBoosting,RandomForest,False,True,True,0.7201642664040048,3619.79288286916
4,False,XGB,HistGradientBoosting,RandomForest,True,False,False,0.7303663098013302,3490.369556453927
4,False,XGB,HistGradientBoosting,RandomForest,True,False,True,0.7006483801950756,3657.855116909116
4,False,XGB,HistGradientBoosting,RandomForest,True,True,False,0.7498801765049237,3452.3070936175186
4,False,XGB,HistGradientBoosting,RandomForest,True,True,True,0.720162246898669,3619.792654072707
4,True,HistGradientBoosting,RandomForest,RandomForest,False,False,False,1.0147494096237522,2757.155050361182
4,True,HistGradientBoosting,RandomForest,RandomForest,False,False,True,0.9079477635848588,2848.343040024957
4,True,HistGradientBoosting,RandomForest,RandomForest,False,True,False,1.3623491897143942,2712.6389284883226
4,True,HistGradientBoosting,RandomForest,RandomForest,False,True,True,1.255547543675501,2803.8269181520973
4,True,HistGradientBoosting,RandomForest,RandomForest,True,False,False,1.0147517860569313,2757.1550343350204
4,True,HistGradientBoosting,RandomForest,RandomForest,True,False,True,0.907950140018038,2848.343023998795
4,True,HistGradientBoosting,RandomForest,RandomForest,True,True,False,1.3623515661475734,2712.638912462161
4,True,HistGradientBoosting,RandomForest,RandomForest,True,True,True,1.2555499201086802,2803.826902125936
